vertex_id,y,z
832,-233.373,206.008
833,-233.375,211.051
834,-233.376,216.094
835,-233.378,221.137
836,-233.380,226.180
837,-233.381,231.223
838,-233.383,236.266
839,-233.385,241.309
840,-233.386,246.352
841,-233.388,251.395
842,-233.390,256.438
843,-233.391,261.481
844,-233.393,266.524
845,-233.395,271.567
846,-233.396,276.609
847,-233.398,281.652
848,-233.399,286.695
849,-233.401,291.738
850,-233.403,296.781
851,-233.404,301.824
852,-233.406,306.867
853,-233.408,311.910
854,-233.409,316.953
855,-233.411,321.996
856,-233.413,327.039
857,-233.414,332.082
858,-233.416,337.125
859,-233.418,342.168
860,-233.419,347.211
861,-233.421,352.254
862,-233.422,357.297
863,-233.424,362.339
864,-233.426,367.382
865,-233.427,372.425
866,-233.429,377.468
867,-233.431,382.511
868,-233.432,387.554
869,-228.276,4.328
870,-228.278,9.370
871,-228.280,14.413
872,-228.282,19.455
873,-228.284,24.498
874,-228.286,29.540
875,-228.288,34.583
876,-228.289,39.625
877,-228.291,44.668
878,-228.293,49.710
879,-228.295,54.753
880,-228.297,59.795
881,-228.299,64.837
882,-228.301,69.880
883,-228.303,74.922
884,-228.305,79.965
885,-228.307,85.007
886,-228.309,90.050
887,-228.310,95.092
888,-228.312,100.135
889,-228.314,105.177
890,-228.316,110.220
891,-228.318,115.262
892,-228.320,120.304
893,-228.322,125.347
894,-228.324,130.389
895,-228.326,135.432
896,-228.328,140.474
897,-228.330,145.517
898,-228.332,150.559
899,-228.333,155.602
900,-228.335,160.644
901,-228.337,165.687
902,-228.339,170.729
903,-228.341,175.772
904,-228.343,180.814
905,-228.345,185.856
906,-228.347,190.899
907,-228.349,195.941
908,-228.351,200.984
909,-228.353,206.026
910,-228.355,211.069
911,-228.356,216.111
912,-228.358,221.154
913,-228.360,226.196
914,-228.362,231.239
915,-228.364,236.281
916,-228.366,241.323
917,-228.368,246.366
918,-228.370,251.408
919,-228.372,256.451
920,-228.374,261.493
921,-228.376,266.536
922,-228.377,271.578
923,-228.379,276.621
924,-228.381,281.663
925,-228.383,286.706
926,-228.385,291.748
927,-228.387,296.790
928,-228.389,301.833
929,-228.391,306.875
930,-228.393,311.918
931,-228.395,316.960
932,-228.397,322.003
933,-228.399,327.045
934,-228.400,332.088
935,-228.402,337.130
936,-228.404,342.173
937,-228.406,347.215
938,-228.408,352.257
939,-228.410,357.300
940,-228.412,362.342
941,-228.414,367.385
942,-228.416,372.427
943,-228.418,377.470
944,-228.420,382.512
945,-228.421,387.555
946,-223.244,4.365
947,-223.247,9.407
948,-223.249,14.449
949,-223.251,19.491
950,-223.253,24.533
951,-223.255,29.575
952,-223.258,34.617
953,-223.260,39.659
954,-223.262,44.701
955,-223.264,49.743
956,-223.266,54.785
957,-223.269,59.827
958,-223.271,64.869
959,-223.273,69.911
960,-223.275,74.953
961,-223.277,79.995
962,-223.279,85.037
963,-223.282,90.079
964,-223.284,95.121
965,-223.286,100.163
966,-223.288,105.205
967,-223.290,110.247
968,-223.293,115.289
969,-223.295,120.331
970,-223.297,125.373
971,-223.299,130.415
972,-223.301,135.457
973,-223.304,140.499
974,-223.306,145.541
975,-223.308,150.583
976,-223.310,155.625
977,-223.312,160.666
978,-223.314,165.708
979,-223.317,170.750
980,-223.319,175.792
981,-223.321,180.834
982,-223.323,185.876
983,-223.325,190.918
984,-223.328,195.960
985,-223.330,201.002
986,-223.332,206.044
987,-223.334,211.086
988,-223.336,216.128
989,-223.339,221.170
990,-223.341,226.212
991,-223.343,231.254
992,-223.345,236.296
993,-223.347,241.338
994,-223.349,246.380
995,-223.352,251.422
996,-223.354,256.464
997,-223.356,261.506
998,-223.358,266.548
999,-223.360,271.590
1000,-223.363,276.632
1001,-223.365,281.674
1002,-223.367,286.716
1003,-223.369,291.758
1004,-223.371,296.800
1005,-223.374,301.842
1006,-223.376,306.884
1007,-223.378,311.926
1008,-223.380,316.968
1009,-223.382,322.010
1010,-223.384,327.052
1011,-223.387,332.093
1012,-223.389,337.135
1013,-223.391,342.177
1014,-223.393,347.219
1015,-223.395,352.261
1016,-223.398,357.303
1017,-223.400,362.345
1018,-223.402,367.387
1019,-223.404,372.429
1020,-223.406,377.471
1021,-223.409,382.513
1022,-223.411,387.555
1023,-218.213,4.403
1024,-218.215,9.444
1025,-218.218,14.485
1026,-218.220,19.526
1027,-218.223,24.568
1028,-218.225,29.609
1029,-218.228,34.651
1030,-218.230,39.692
1031,-218.233,44.734
1032,-218.235,49.775
1033,-218.238,54.817
1034,-218.240,59.858
1035,-218.243,64.900
1036,-218.245,69.941
1037,-218.247,74.983
1038,-218.250,80.024
1039,-218.252,85.066
1040,-218.255,90.107
1041,-218.257,95.149
1042,-218.260,100.190
1043,-218.262,105.232
1044,-218.265,110.273
1045,-218.267,115.315
1046,-218.270,120.356
1047,-218.272,125.398
1048,-218.275,130.439
1049,-218.277,135.481
1050,-218.279,140.522
1051,-218.282,145.564
1052,-218.284,150.605
1053,-218.287,155.647
1054,-218.289,160.688
1055,-218.292,165.730
1056,-218.294,170.771
1057,-218.297,175.813
1058,-218.299,180.854
1059,-218.302,185.896
1060,-218.304,190.937
1061,-218.306,195.979
1062,-218.309,201.020
1063,-218.311,206.062
1064,-218.314,211.103
1065,-218.316,216.145
1066,-218.319,221.186
1067,-218.321,226.228
1068,-218.324,231.269
1069,-218.326,236.311
1070,-218.329,241.352
1071,-218.331,246.394
1072,-218.334,251.435
1073,-218.336,256.477
1074,-218.338,261.518
1075,-218.341,266.560
1076,-218.343,271.601
1077,-218.346,276.643
1078,-218.348,281.684
1079,-218.351,286.726
1080,-218.353,291.767
1081,-218.356,296.809
1082,-218.358,301.850
1083,-218.361,306.892
1084,-218.363,311.933
1085,-218.366,316.975
1086,-218.368,322.016
1087,-218.370,327.058
1088,-218.373,332.099
1089,-218.375,337.141
1090,-218.378,342.182
1091,-218.380,347.224
1092,-218.383,352.265
1093,-218.385,357.307
1094,-218.388,362.348
1095,-218.390,367.390
1096,-218.393,372.431
1097,-218.395,377.473
1098,-218.397,382.514
1099,-218.400,387.556
1100,-213.182,4.437
1101,-213.185,9.474
1102,-213.188,14.513
1103,-213.190,19.553
1104,-213.193,24.593
1105,-213.196,29.634
1106,-213.199,34.675
1107,-213.201,39.716
1108,-213.204,44.758
1109,-213.207,49.799
1110,-213.210,54.840
1111,-213.212,59.881
1112,-213.215,64.922
1113,-213.218,69.963
1114,-213.220,75.004
1115,-213.223,80.046
1116,-213.226,85.087
1117,-213.229,90.128
1118,-213.231,95.169
1119,-213.234,100.210
1120,-213.237,105.251
1121,-213.239,110.292
1122,-213.242,115.334
1123,-213.245,120.375
1124,-213.248,125.416
1125,-213.250,130.457
1126,-213.253,135.498
1127,-213.256,140.539
1128,-213.259,145.581
1129,-213.261,150.622
1130,-213.264,155.663
1131,-213.267,160.704
1132,-213.269,165.745
1133,-213.272,170.786
1134,-213.275,175.827
1135,-213.278,180.869
1136,-213.280,185.910
1137,-213.283,190.951
1138,-213.286,195.992
1139,-213.288,201.033
1140,-213.291,206.074
1141,-213.294,211.116
1142,-213.297,216.157
1143,-213.299,221.198
1144,-213.302,226.239
1145,-213.305,231.280
1146,-213.308,236.321
1147,-213.310,241.362
1148,-213.313,246.404
1149,-213.316,251.445
1150,-213.318,256.486
1151,-213.321,261.527
1152,-213.324,266.568
1153,-213.327,271.609
1154,-213.329,276.650
1155,-213.332,281.692
1156,-213.335,286.733
1157,-213.337,291.774
1158,-213.340,296.815
1159,-213.343,301.856
1160,-213.346,306.897
1161,-213.348,311.939
1162,-213.351,316.980
1163,-213.354,322.021
1164,-213.357,327.062
1165,-213.359,332.103
1166,-213.362,337.144
1167,-213.365,342.185
1168,-213.367,347.227
1169,-213.370,352.268
1170,-213.373,357.309
1171,-213.376,362.350
1172,-213.378,367.391
1173,-213.381,372.432
1174,-213.384,377.473
1175,-213.386,382.515
1176,-213.389,387.556
1177,-208.152,4.456
1178,-208.156,9.479
1179,-208.160,14.509
1180,-208.163,19.545
1181,-208.166,24.583
1182,-208.169,29.623
1183,-208.172,34.664
1184,-208.175,39.705
1185,-208.178,44.747
1186,-208.181,49.788
1187,-208.184,54.829
1188,-208.187,59.871
1189,-208.190,64.912
1190,-208.193,69.953
1191,-208.196,74.995
1192,-208.199,80.036
1193,-208.202,85.077
1194,-208.205,90.118
1195,-208.208,95.160
1196,-208.211,100.201
1197,-208.214,105.242
1198,-208.217,110.284
1199,-208.220,115.325
1200,-208.223,120.366
1201,-208.225,125.408
1202,-208.228,130.449
1203,-208.231,135.490
1204,-208.234,140.531
1205,-208.237,145.573
1206,-208.240,150.614
1207,-208.243,155.655
1208,-208.246,160.697
1209,-208.249,165.738
1210,-208.252,170.779
1211,-208.255,175.821
1212,-208.258,180.862
1213,-208.261,185.903
1214,-208.264,190.944
1215,-208.267,195.986
1216,-208.270,201.027
1217,-208.273,206.068
1218,-208.275,211.110
1219,-208.278,216.151
1220,-208.281,221.192
1221,-208.284,226.234
1222,-208.287,231.275
1223,-208.290,236.316
1224,-208.293,241.357
1225,-208.296,246.399
1226,-208.299,251.440
1227,-208.302,256.481
1228,-208.305,261.523
1229,-208.308,266.564
1230,-208.311,271.605
1231,-208.314,276.647
1232,-208.317,281.688
1233,-208.320,286.729
1234,-208.323,291.770
1235,-208.326,296.812
1236,-208.328,301.853
1237,-208.331,306.894
1238,-208.334,311.936
1239,-208.337,316.977
1240,-208.340,322.018
1241,-208.343,327.060
1242,-208.346,332.101
1243,-208.349,337.142
1244,-208.352,342.183
1245,-208.355,347.225
1246,-208.358,352.266
1247,-208.361,357.307
1248,-208.364,362.349
1249,-208.367,367.390
1250,-208.370,372.431
1251,-208.373,377.473
1252,-208.376,382.514
